"",5月5日(火),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"埼玉県",901,7,1.230,814,90.3%,60,6.7%,27,3.0%
"千葉県",835,1,1.330,672,80.5%,136,16.3%,27,3.2%
"東京都",4727,58,3.400,4635,98.1%,73,1.5%,19,0.4%
"神奈川県",1125,14,1.220,899,79.9%,185,16.4%,41,3.6%
"大阪府",1689,7,1.920,1007,59.6%,627,37.1%,55,3.3%
"兵庫県",673,6,1.230,559,83.1%,96,14.3%,18,2.7%
"福岡県",650,1,1.270,344,52.9%,284,43.7%,22,3.4%
"",,,,,,,,,
"北海道",891,12,1.700,562,63.1%,286,32.1%,43,4.8%
"茨城県",168,1,0.590,90,53.6%,69,41.1%,9,5.4%
"石川県",268,1,2.360,232,86.6%,23,8.6%,13,4.9%
"岐阜県",150,0,0.750,49,32.7%,95,63.3%,6,4.0%
"愛知県",498,3,0.660,389,78.1%,75,15.1%,34,6.8%
"京都府",338,4,1.310,141,41.7%,185,54.7%,12,3.6%
"",,,,,,,,,
"青森県",26,0,0.210,11,42.3%,15,57.7%,0,0.0%
"岩手県",0,0,0.000,0,-,0,,0,-
"宮城県",88,0,0.380,23,26.1%,65,73.9%,0,0.0%
"秋田県",16,0,0.170,3,18.8%,13,81.3%,0,0.0%
"山形県",69,0,0.640,15,21.7%,54,78.3%,0,0.0%
"福島県",79,1,0.430,45,57.0%,34,43.0%,0,0.0%
"栃木県",54,0,0.280,29,53.7%,25,46.3%,0,0.0%
"群馬県",146,0,0.750,94,64.4%,36,24.7%,16,11.0%
"新潟県",78,0,0.350,46,59.0%,32,41.0%,0,0.0%
"富山県",216,4,2.070,169,78.2%,37,17.1%,10,4.6%
"福井県",122,0,1.590,36,29.5%,78,63.9%,8,6.6%
"山梨県",56,0,0.690,27,48.2%,29,51.8%,0,0.0%
"長野県",72,0,0.350,44,61.1%,28,38.9%,0,0.0%
"静岡県",73,0,0.200,48,65.8%,24,32.9%,1,1.4%
"三重県",45,0,0.250,24,53.3%,20,44.4%,1,2.2%
"滋賀県",98,0,0.690,61,62.2%,36,36.7%,1,1.0%
"奈良県",88,1,0.660,48,54.5%,38,43.2%,2,2.3%
"和歌山県",62,0,0.670,22,35.5%,38,61.3%,2,3.2%
"鳥取県",3,0,0.050,2,66.7%,1,33.3%,0,0.0%
"島根県",24,0,0.360,15,62.5%,9,37.5%,0,0.0%
"岡山県",23,0,0.120,13,56.5%,10,43.5%,0,0.0%
"広島県",162,0,0.580,123,75.9%,37,22.8%,2,1.2%
"山口県",37,1,0.270,13,35.1%,24,64.9%,0,0.0%
"徳島県",5,0,0.070,1,20.0%,3,60.0%,1,20.0%
"香川県",28,0,0.290,17,60.7%,11,39.3%,0,0.0%
"愛媛県",48,0,0.360,13,27.1%,32,66.7%,3,6.3%
"高知県",74,0,1.060,22,29.7%,49,66.2%,3,4.1%
"佐賀県",45,0,0.550,35,77.8%,10,22.2%,0,0.0%
"長崎県",17,0,0.130,6,35.3%,10,58.8%,1,5.9%
"熊本県",47,0,0.270,32,68.1%,13,27.7%,2,4.3%
"大分県",60,0,0.530,26,43.3%,33,55.0%,1,1.7%
"宮崎県",17,0,0.160,6,35.3%,11,64.7%,0,0.0%
"鹿児島県",10,0,0.060,6,60.0%,4,40.0%,0,0.0%
"沖縄県",142,0,0.980,114,80.3%,24,16.9%,4,2.8%
"その他",149,0,-,149,100.0%,0,0.0%,0,0.0%
"",,,,,,,,,
"総計",15192,122,1.200,11731,77.2%,3077,20.3%,384,2.5%
