"",5月3日(日),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"埼玉県",888,10,1.210,809,91.1%,54,6.1%,25,2.8%
"千葉県",828,5,1.320,697,84.2%,105,12.7%,26,3.1%
"東京都",4582,91,3.290,4504,98.3%,59,1.3%,19,0.4%
"神奈川県",1101,23,1.200,882,80.1%,184,16.7%,35,3.2%
"大阪府",1669,11,1.890,1045,62.6%,575,34.5%,49,2.9%
"兵庫県",667,13,1.220,559,83.8%,90,13.5%,18,2.7%
"福岡県",648,0,1.270,453,69.9%,173,26.7%,22,3.4%
"",,,,,,,,,
"北海道",847,24,1.610,566,66.8%,248,29.3%,33,3.9%
"茨城県",165,0,0.580,113,68.5%,45,27.3%,7,4.2%
"石川県",264,4,2.320,228,86.4%,23,8.7%,13,4.9%
"岐阜県",150,0,0.750,65,43.3%,79,52.7%,6,4.0%
"愛知県",492,1,0.650,383,77.8%,75,15.2%,34,6.9%
"京都府",331,3,1.280,144,43.5%,176,53.2%,11,3.3%
"",,,,,,,,,
"青森県",26,0,0.210,12,46.2%,14,53.8%,0,0.0%
"岩手県",0,0,0.000,0,-,0,,0,-
"宮城県",88,0,0.380,27,30.7%,61,69.3%,0,0.0%
"秋田県",16,0,0.170,3,18.8%,13,81.3%,0,0.0%
"山形県",68,0,0.630,15,22.1%,53,77.9%,0,0.0%
"福島県",78,3,0.420,59,75.6%,19,24.4%,0,0.0%
"栃木県",54,0,0.280,38,70.4%,16,29.6%,0,0.0%
"群馬県",146,0,0.750,94,64.4%,36,24.7%,16,11.0%
"新潟県",77,0,0.350,45,58.4%,32,41.6%,0,0.0%
"富山県",212,3,2.030,165,77.8%,37,17.5%,10,4.7%
"福井県",122,0,1.590,39,32.0%,75,61.5%,8,6.6%
"山梨県",56,1,0.690,27,48.2%,29,51.8%,0,0.0%
"長野県",70,1,0.340,47,67.1%,23,32.9%,0,0.0%
"静岡県",73,0,0.200,48,65.8%,24,32.9%,1,1.4%
"三重県",45,0,0.250,25,55.6%,19,42.2%,1,2.2%
"滋賀県",96,0,0.680,60,62.5%,35,36.5%,1,1.0%
"奈良県",87,1,0.650,48,55.2%,38,43.7%,1,1.1%
"和歌山県",62,0,0.670,25,40.3%,35,56.5%,2,3.2%
"鳥取県",3,0,0.050,2,66.7%,1,33.3%,0,0.0%
"島根県",24,1,0.360,17,70.8%,7,29.2%,0,0.0%
"岡山県",23,0,0.120,13,56.5%,10,43.5%,0,0.0%
"広島県",162,1,0.580,125,77.2%,35,21.6%,2,1.2%
"山口県",35,1,0.260,11,31.4%,24,68.6%,0,0.0%
"徳島県",5,0,0.070,1,20.0%,3,60.0%,1,20.0%
"香川県",28,0,0.290,19,67.9%,9,32.1%,0,0.0%
"愛媛県",48,1,0.360,14,29.2%,31,64.6%,3,6.3%
"高知県",74,0,1.060,22,29.7%,49,66.2%,3,4.1%
"佐賀県",44,2,0.540,35,79.5%,9,20.5%,0,0.0%
"長崎県",17,0,0.130,6,35.3%,10,58.8%,1,5.9%
"熊本県",47,0,0.270,32,68.1%,13,27.7%,2,4.3%
"大分県",60,0,0.530,27,45.0%,32,53.3%,1,1.7%
"宮崎県",17,0,0.160,6,35.3%,11,64.7%,0,0.0%
"鹿児島県",10,0,0.060,6,60.0%,4,40.0%,0,0.0%
"沖縄県",142,0,0.980,114,80.3%,24,16.9%,4,2.8%
"その他",148,0,-,148,100.0%,0,0.0%,0,0.0%
"",,,,,,,,,
"総計",14895,200,1.180,11823,79.4%,2717,18.2%,355,2.4%
