"",5月2日(土),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"埼玉県",878,21,1.190,809,92.1%,52,5.9%,17,1.9%
"千葉県",823,7,1.310,693,84.2%,105,12.8%,25,3.0%
"東京都",4491,160,3.230,4413,98.3%,59,1.3%,19,0.4%
"神奈川県",1060,18,1.150,850,80.2%,177,16.7%,33,3.1%
"大阪府",1658,17,1.880,1056,63.7%,557,33.6%,45,2.7%
"兵庫県",654,4,1.200,550,84.1%,86,13.1%,18,2.8%
"福岡県",648,3,1.270,460,71.0%,171,26.4%,17,2.6%
"",0,0,,0,,0,,,
"北海道",823,33,1.570,546,66.3%,248,30.1%,29,3.5%
"茨城県",165,0,0.580,120,72.7%,38,23.0%,7,4.2%
"石川県",260,6,2.280,224,86.2%,23,8.8%,13,5.0%
"岐阜県",150,1,0.750,65,43.3%,79,52.7%,6,4.0%
"愛知県",491,0,0.650,383,78.0%,75,15.3%,33,6.7%
"京都府",328,5,1.270,149,45.4%,168,51.2%,11,3.4%
"",0,0,,,0,,0,,
"青森県",26,0,0.210,12,46.2%,14,53.8%,0,0.0%
"岩手県",0,0,0.000,0,-,0,,0,-
"宮城県",88,0,0.380,27,30.7%,61,69.3%,0,0.0%
"秋田県",16,0,0.170,3,18.8%,13,81.3%,0,0.0%
"山形県",68,0,0.630,18,26.5%,50,73.5%,0,0.0%
"福島県",75,1,0.410,56,74.7%,19,25.3%,0,0.0%
"栃木県",54,0,0.280,38,70.4%,16,29.6%,0,0.0%
"群馬県",146,0,0.750,116,79.5%,15,10.3%,15,10.3%
"新潟県",77,0,0.350,45,58.4%,32,41.6%,0,0.0%
"富山県",209,8,2.000,162,77.5%,38,18.2%,9,4.3%
"福井県",122,0,1.590,39,32.0%,75,61.5%,8,6.6%
"山梨県",55,1,0.680,26,47.3%,29,52.7%,0,0.0%
"長野県",69,3,0.340,46,66.7%,23,33.3%,0,0.0%
"静岡県",73,0,0.200,48,65.8%,24,32.9%,1,1.4%
"三重県",45,0,0.250,25,55.6%,19,42.2%,1,2.2%
"滋賀県",96,0,0.680,60,62.5%,35,36.5%,1,1.0%
"奈良県",86,0,0.650,47,54.7%,38,44.2%,1,1.2%
"和歌山県",62,0,0.670,29,46.8%,31,50.0%,2,3.2%
"鳥取県",3,0,0.050,2,66.7%,1,33.3%,0,0.0%
"島根県",23,0,0.340,16,69.6%,7,30.4%,0,0.0%
"岡山県",23,0,0.120,13,56.5%,10,43.5%,0,0.0%
"広島県",161,1,0.570,130,80.7%,29,18.0%,2,1.2%
"山口県",34,0,0.250,10,29.4%,24,70.6%,0,0.0%
"徳島県",5,0,0.070,1,20.0%,3,60.0%,1,20.0%
"香川県",28,0,0.290,21,75.0%,7,25.0%,0,0.0%
"愛媛県",47,0,0.350,17,36.2%,27,57.4%,3,6.4%
"高知県",74,0,1.060,22,29.7%,49,66.2%,3,4.1%
"佐賀県",42,0,0.520,35,83.3%,7,16.7%,0,0.0%
"長崎県",17,0,0.130,7,41.2%,9,52.9%,1,5.9%
"熊本県",47,0,0.270,33,70.2%,13,27.7%,1,2.1%
"大分県",60,0,0.530,28,46.7%,31,51.7%,1,1.7%
"宮崎県",17,0,0.160,6,35.3%,11,64.7%,0,0.0%
"鹿児島県",10,0,0.060,6,60.0%,4,40.0%,0,0.0%
"沖縄県",142,0,0.980,114,80.3%,24,16.9%,4,2.8%
"その他",148,0,-,148,100.0%,0,0.0%,0,0.0%
"",,,,,,,,,
"総計",14677,289,1.160,11724,79.9%,2626,17.9%,327,2.2%
